"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2lLowL0Kf5vQjRxfLt6c1T","Hallelujah Money (feat. Benjamin Clementine)","spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:7zHIrsSBL7A0gEJfzv1m7z","Gorillaz, Benjamin Clementine","spotify:album:0NvirtaDCaZU5PAW1O5FDE","Humanz (Deluxe)","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","2017-04-28","https://i.scdn.co/image/ab67616d0000b273a5952c0e2e649f588603b743","1","19","263106","https://p.scdn.co/mp3-preview/93d01b14265f53cb2a42cebb01c2ab6a0b613765?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBAYE1700178","spotify:user:iqett668rwbgjcvi3rw4p1g8y","2022-09-03T17:13:06Z","art pop","0.399","0.522","7","-7.263","1","0.0325","0.0964","0.000073","0.431","0.29","162.136","3","","Parlophone UK","C © 2017 Gorillaz Partnership under exclusive licence to Parlophone Records Limited, a Warner Music Group Company, P ℗ 2017 Parlophone Records Limited, a Warner Music Group Company"
"spotify:track:3A0cAzFKPefBCz7Z02UnnO","The Divine Chord","spotify:artist:3C8RpaI3Go0yFF9whvKoED, spotify:artist:0SwO7SWeDHJijQ3XNS7xEE, spotify:artist:2bA2YuQk2ID3PWNXUhQrWS","The Avalanches, MGMT, Johnny Marr","spotify:album:755yBlrk0Sz8tIgMMTgyr1","We Will Always Love You","spotify:artist:3C8RpaI3Go0yFF9whvKoED","The Avalanches","2020-12-11","https://i.scdn.co/image/ab67616d0000b273b0b3bd1a5f3967705579e6f1","1","4","187586","","false","55","AUUM72000706","spotify:user:iqett668rwbgjcvi3rw4p1g8y","2022-09-03T17:13:12Z","plunderphonics,indie","0.557","0.863","0","-5.321","0","0.0391","0.104","0","0.697","0.373","105.362","4","","Universal Music Australia Pty. Ltd.","C © 2020 Modular Recordings Pty Limited, P ℗ 2020 Modular Recordings Pty Limited"
"spotify:track:0ZQ0AYmoSQqmPYtI9JP9F9","War on War","spotify:artist:2QoU3awHVdcHS8LrZEKvSM","Wilco","spotify:album:0rPtXOMN42nsLDiShvGamv","Yankee Hotel Foxtrot","spotify:artist:2QoU3awHVdcHS8LrZEKvSM","Wilco","2003-10-07","https://i.scdn.co/image/ab67616d0000b27327f0b3e25bfd979d8ae1d54b","1","4","227666","https://p.scdn.co/mp3-preview/89bdb244dd3980e5a56f5da162740bbf868e6989?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USNO10166904","spotify:user:iqett668rwbgjcvi3rw4p1g8y","2022-09-03T19:23:29Z","alt country,americana,indie rock","0.65","0.833","9","-8.446","1","0.0297","0.0323","0.00386","0.233","0.677","131.184","4","","Nonesuch","C © 2002 Nonesuch Records, P ℗ 2002 Nonesuch Records"
"spotify:track:5pzfcBv5riLKb74cq0wjFd","Speech Bubbles","spotify:artist:6styCzc1Ej4NxISL0LiigM","The Smile","spotify:album:009EjjwUjtdjvH7UP0wHzi","A Light for Attracting Attention","spotify:artist:6styCzc1Ej4NxISL0LiigM","The Smile","2022-05-13","https://i.scdn.co/image/ab67616d0000b273423ac018d0ec2301e40948a0","1","6","256972","https://p.scdn.co/mp3-preview/b8f96e274e101672a5ea72cec4f19a2c9cd5876c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBBKS2200004","spotify:user:iqett668rwbgjcvi3rw4p1g8y","2022-09-03T20:25:44Z","art rock","0.388","0.345","0","-11.185","0","0.0306","0.865","0.773","0.102","0.145","87.45","4","","XL Recordings","C 2022 Self Help Tapes LLP under exclusive licence to XL Recordings Ltd, P 2022 Self Help Tapes LLP under exclusive licence to XL Recordings Ltd"
"spotify:track:2W4yTO3qHdqyvbz2UxfIPh","Submission (feat. Danny Brown & Kelela)","spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:7aA592KWirLsnfb5ulGWvU, spotify:artist:1U0sIzpRtDkvu1hXXzxh60","Gorillaz, Danny Brown, Kelela","spotify:album:0NvirtaDCaZU5PAW1O5FDE","Humanz (Deluxe)","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","2017-04-28","https://i.scdn.co/image/ab67616d0000b273a5952c0e2e649f588603b743","1","7","201573","https://p.scdn.co/mp3-preview/1b948aa51f92eb601b5c6e90c76b43a002a12d1e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBAYE1700166","spotify:user:iqett668rwbgjcvi3rw4p1g8y","2022-09-04T02:05:44Z","experimental hip hop,alternative hip hop,alternative r&b","0.677","0.83","4","-3.96","1","0.0489","0.00697","0","0.134","0.612","137.997","4","","Parlophone UK","C © 2017 Gorillaz Partnership under exclusive licence to Parlophone Records Limited, a Warner Music Group Company, P ℗ 2017 Parlophone Records Limited, a Warner Music Group Company"
"spotify:track:3wJqhhpTF7mFXgZUWuxhya","This Heart's on Fire","spotify:artist:0XSqX2PB3C5dTMv7SZaxSm","Wolf Parade","spotify:album:6ZeO3WNF2Gti8ZQnXog5SQ","Apologies to the Queen Mary","spotify:artist:0XSqX2PB3C5dTMv7SZaxSm","Wolf Parade","2005-09-27","https://i.scdn.co/image/ab67616d0000b2733674bf46d2590883b6adf1f8","1","12","238853","https://p.scdn.co/mp3-preview/74f128ace0b89d67f028d89d5dc6ab78b47e10bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USSUB0565512","spotify:user:iqett668rwbgjcvi3rw4p1g8y","2022-09-05T02:06:03Z","indie rock","0.235","0.914","0","-4.778","1","0.0536","0.649","0.000295","0.255","0.286","127.016","4","","Sub Pop Records","C 2005 Sub Pop Records, P 2005 Sub Pop Records"
"spotify:track:3lw5KtGaxGyjYBeK7lTA5n","Lucky Me","spotify:artist:5W10uJRsbt9bROJDKoI1Wn","Moses Sumney","spotify:album:1iYsYnkc0Bccy66X4GQ2tm","græ","spotify:artist:5W10uJRsbt9bROJDKoI1Wn","Moses Sumney","2020-05-15","https://i.scdn.co/image/ab67616d0000b2733f198d483ba10e30153d8385","2","5","297226","https://p.scdn.co/mp3-preview/b64d00d36c657b398420f243a370ff32e9fe4a00?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","US38Y1934817","spotify:user:iqett668rwbgjcvi3rw4p1g8y","2022-09-05T13:06:13Z","art pop,indie soul","0.421","0.15","1","-13.239","1","0.0414","0.982","0.00193","0.122","0.5","179.981","4","","Jagjaguwar","C 2020 Jagjaguwar, P 2020 Jagjaguwar"
"spotify:track:5GUYJTQap5F3RDQiCOJhrS","Self Control","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","7","249667","https://p.scdn.co/mp3-preview/64db1616c8839309c68bafc68e32c45bcb4677c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","QZ5C81600007","spotify:user:iqett668rwbgjcvi3rw4p1g8y","2022-09-05T15:10:31Z","","0.581","0.21","8","-10.426","1","0.0321","0.768","0","0.369","0.452","80.099","4","","Boys Don't Cry","P 2016 Boys Don't Cry"
"spotify:track:1v9EpPSwqqjksbn4lTxpUt","Picking You","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","spotify:album:03Dp6OJS4wd7dI1rRszPwj","Cocoa Sugar","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","2018-03-09","https://i.scdn.co/image/ab67616d0000b27371c9ae88355f12e6fbc566d2","1","12","184532","https://p.scdn.co/mp3-preview/0fbdbbe078f57d79299c6220d0310202c6fbebd3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","GBCFB1700594","spotify:user:iqett668rwbgjcvi3rw4p1g8y","2022-09-05T21:04:39Z","experimental hip hop","0.521","0.609","5","-7.655","1","0.0407","0.0227","0.000342","0.511","0.363","136.069","4","","Ninja Tune","C 2018 Ninja Tune, P 2018 Ninja Tune"
"spotify:track:4dRqYKhLVujxiBXcq50YzG","This Life","spotify:artist:5BvJzeQpmsdsFp4HGUYUEx","Vampire Weekend","spotify:album:1A3nVEWRJ8yvlPzawHI1pQ","Father of the Bride","spotify:artist:5BvJzeQpmsdsFp4HGUYUEx","Vampire Weekend","2019-05-03","https://i.scdn.co/image/ab67616d0000b273a2b1d3e73c66663c01351bcf","1","4","268600","https://p.scdn.co/mp3-preview/a6c44e8d6aea87f48021b46f187cc5319d577541?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USSM11900141","spotify:user:iqett668rwbgjcvi3rw4p1g8y","2022-09-06T11:11:04Z","indie,baroque pop","0.62","0.712","9","-6.434","1","0.1","0.228","0.00000339","0.0561","0.83","170.234","4","","Columbia","P (P) 2019 Spring Snow, LLC. under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
